"You really want to change the status of the chosen carriers?","You really want to change the status of the chosen carriers?"
Code,Code
"Created At","Created At"
"Updated At","Updated At"
"Pop-up Zone Information","Pop-up Zone Information"
Name,Name
"Add New Zone","Add New Zone"
Select...,Select...
"You really want to change the status of the chosen zones?","You really want to change the status of the chosen zones?"
Image,Image
Created,Created
Updated,Updated
"Method Information","Method Information"
"
                        Will be displayed on checkout if a Store-specific label was not set.
                    ","
                        Will be displayed on checkout if a Store-specific label was not set.
                    "
"
                        The value should be unique. This code is visible in the back-end only.
                    ","
                        The value should be unique. This code is visible in the back-end only.
                    "
"This setting hides the method if there are no valid rates for it","This setting hides the method if there are no valid rates for it"
"
                        Hides that method if there is no one valid rate was applied.
                    ","
                        Hides that method if there is no one valid rate was applied.
                    "
"Replace method's title","Replace method's title"
"
                        This setting replaces the method's title by the applicable rate's title with the highest priority
                    ","
                        This setting replaces the method's title by the applicable rate's title with the highest priority
                    "
"
                        Base price of the method (in base currency). Used for methods without rates.
                    ","
                        Base price of the method (in base currency). Used for methods without rates.
                    "
"Min Price Threshold","Min Price Threshold"
"
                        Used only in rates price calculation, does not overwrite own method price if there are no valid
                        rates
                    ","
                        Used only in rates price calculation, does not overwrite own method price if there are no valid
                        rates
                    "
"Max Price Threshold","Max Price Threshold"
"
                        Allows to configure the price-calculation method when more than one rate is valid.
                    ","
                        Allows to configure the price-calculation method when more than one rate is valid.
                    "
"Free Shipping Allowed","Free Shipping Allowed"
"
                        Triggered by a third party extension. Allows to set a free shipping (for a whole cart) in the
                        modules like the Sales Rules.
                    ","
                        Triggered by a third party extension. Allows to set a free shipping (for a whole cart) in the
                        modules like the Sales Rules.
                    "
"Display the Estimated Delivery Time on front-end","Display the Estimated Delivery Time on front-end"
"
                        In case when is enabled the Estimated Delivery Time message with a corresponding values would be
                        displayed for the customer on the front-end (in a method title) - if enabled,
                        the Estimated Delivery Time message with the corresponding values will be displayed
                        on the front-end (in the method's title)
                    ","
                        In case when is enabled the Estimated Delivery Time message with a corresponding values would be
                        displayed for the customer on the front-end (in a method title) - if enabled,
                        the Estimated Delivery Time message with the corresponding values will be displayed
                        on the front-end (in the method's title)
                    "
"Allow to replace Estimated Delivery Time","Allow to replace Estimated Delivery Time"
"
                        Allows to replace the Estimated Delivery Time values by the corresponding values
                        from the valid rates
                    ","
                        Allows to replace the Estimated Delivery Time values by the corresponding values
                        from the valid rates
                    "
"Estimated delivery time min","Estimated delivery time min"
"Estimated delivery time max","Estimated delivery time max"
"Estimated Delivery Time Display Type","Estimated Delivery Time Display Type"
"
                        Display min and max time as days, hours or days with hours.
                    ","
                        Display min and max time as days, hours or days with hours.
                    "
